angle, residual, std_dev_error
0.000000000000000000e+00,-2.755395576862724738e-01,2.697058377264130793e-02
1.500000000000000000e+01,-4.447595792505509849e-02,1.539474552221667403e-01
3.000000000000000000e+01,1.105985371193156652e-01,2.529447973802169680e-01
4.500000000000000000e+01,2.023229443821534801e-01,2.850161557701456627e-01
6.000000000000000000e+01,1.627377122748017158e-01,2.411061172361133875e-01
7.500000000000000000e+01,6.639851977643274061e-02,1.330586977567518314e-01
9.000000000000000000e+01,1.387926247113646649e-04,1.810352138169938827e-02
1.050000000000000000e+02,3.557519286349508647e-02,1.528455173612370266e-01
1.200000000000000000e+02,1.903006978191292831e-01,2.525771101353354586e-01
1.350000000000000000e+02,3.915762905562871765e-01,2.850444398754784503e-01
1.500000000000000000e+02,5.868615226636286764e-01,2.415490855165719764e-01
1.650000000000000000e+02,5.278007151620123238e-01,1.343830625287756042e-01
1.800000000000000000e+02,3.808604423137325057e-01,2.697058377264128365e-02
1.950000000000000000e+02,1.607240420749391774e-01,1.539474552221665460e-01
2.100000000000000000e+02,-2.730146288067913929e-02,2.529447973802170790e-01
2.250000000000000000e+02,-6.527705561785168697e-02,2.850161557701456627e-01
2.400000000000000000e+02,-7.076228772520742893e-02,2.411061172361134985e-01
2.550000000000000000e+02,-6.601480223567213201e-03,1.330586977567517759e-01
2.700000000000000000e+02,-1.761207375288641186e-03,1.810352138169934663e-02
2.850000000000000000e+02,-8.952480713651000954e-02,1.528455173612372209e-01
3.000000000000000000e+02,-2.414993021808768958e-01,2.525771101353355697e-01
3.150000000000000000e+02,-3.749237094437098960e-01,2.850444398754784503e-01
3.300000000000000000e+02,-3.982384773363527586e-01,2.415490855165721706e-01
3.450000000000000000e+02,-2.687992848379927580e-01,1.343830625287754377e-01
3.600000000000000000e+02,-1.217395576862685402e-01,2.697058377264125589e-02
